제목,언론사,날짜,본문,링크,감성점수
"연암공대-LG화학 폴란드법인, LINC+ 해외현장실습학기제 사전교육 실시 < 대학뉴스 < 뉴스 < 기사본문 - 한국대학신문 - 411개 대학을 연결하는 '힘'",한국대학신문,2020.07.24.,기자명조영은 기자입력 2020.07.24 15:39댓글 0,http://news.unn.net/news/articleView.html?idxno=232760,4
"LG화학-GS칼텍스, 전기차배터리 서비스 공동 개발",연합뉴스,2020/07/07 14:33 송고2020년07월07일 14시33분 송고,"김영신기자구독구독중이전다음이미지 확대(서울=연합뉴스) LG화학과 GS칼텍스가 7일 서울 여의도 LG트윈타워에서 '충전 환경 개선과 신사업 기회 발굴을 위한 업무협약 '을 체결했다고 밝혔다.왼쪽부터 케이에스티 모빌리티 이행열 대표, 그린카 김상원 대표, LG화학 자동차전지사업부장 김동명 부사장,GS칼텍스 전략기획실장 김정수 전무, 시그넷이브이 황호철 대표, 소프트베리 박용희 대표가 기념 촬영을 하고 있다. 2020.7.7 [LG화학·GS칼텍스 제공. 재판매 및 DB 금지]photo@yna.co.kr제보는 카카오톡 okjebo<저작권자(c) 연합뉴스,무단 전재-재배포, AI 학습 및 활용 금지>2020/07/07 14:33 송고2020년07월07일 14시33분 송고",http://yna.kr/PYH20200707132500003?did=1196m,5
"코스피 시총 상위 10종목 초반 강세, LG화학 카카오 3%대 올라",비즈니스포스트,2020.07.21.,본문 추출 실패,http://www.businesspost.co.kr/BP?command=article_view&num=188189,5
"코스피, 외국인-기관 사자에 상승 마감...삼성전자, 네이버, LG화학, 카카오, 현대차, 삼성SDI, LG생활건강 등 상승 vs SK하이닉스, 삼성바이오로직스, 셀트리온 등 하락 < 경제 < 기사본문 - 이코노뉴스",이코노뉴스,2020.07.27.,기자명이정원 기자입력 2020.07.27 21:47댓글 0,http://www.econonews.co.kr/news/articleView.html?idxno=130233,2
[오늘의 추천종목-유안타증권]LG화학·현대차 등,아시아투데이,2020.07.20.,"[오늘의 추천종목-유안타증권]LG화학·현대차 등◇대형주△삼성전자-2분기 COVID19에도 IM 사업부와 CE 사업부 실적은 우려보다 양호할 전망-하반기 불확실성은 있지만 여전히 서버 및 게임콘솔용 메모리반도체 수요에 대한 기대 요인이 더 크다고 판단. 특히 주요 게임콘솔 업체들이 기존 HDD 스토리지를 SSD 로 대체하고 있다는 점에 주목-최근 파운드리 투자계획 발표 및 비메모리 분야의 협업 이슈는 동사의 중장기적 가치 상승에 긍정적으로 작용할 것△NAVER-네이버 플러스 멤버쉽 서비스, 네이버 통장에 따른 네이버 플랫폼 충성도 증가, 금융사업으로 네이버 플랫폼 확대에 따른 기업가치 증가 전망-LINE 플랫폼 - 야후재팬 비즈니스 결합에 따른 일본, 동남아 언택트 사업 확대/성장 기대△LG 화학-전기차 배터리 부문 시장점유율 확대 전망 유효-배터리 부문 외형 성장 및 설비 가동률 개선(현재 90% 수준)에 따른 수익화 국면 진입 전망-소형/중대형 전지부문 사업가치(Enterprise Value) 29조원△현대차-코로나19 이후 한국, 중국 신차 시장 빠른 회복세를 나타내고 있으며 유럽, 북미는 하반기부터 신차 수요 회복 전망-국내 제네시스 브랜드 및 주요 신차 판매 호조 지속 중이며 하반기 북미를 중심으로 글로벌 출시에 따른 신차 효과 지속 전망. SUV 및 고급브랜드 판매 비중 확대로 ASP 개선 효과 기대△LG 생활건강-중국 수요 회복시 가장 빠를 것: 국내 브랜드 중 대중국 수요(면세, 중국) 가장 강함-과거 위기시 비용관리 탁월하여 이익 안정성 보여줌△LG-서브원 지분(60.1%) 매각 6,000억원, CNS 지분 35%를 맥쿼리 PE 에 매각(9,516억원. 4월 수취) → LG. 현금성 자산 1.7조원으로 증가-NAV 내 LG 화학 50% 육박. 상장 자회사 가치가 비상장 자회사 가치를 크게 압도 → 상장 자회사 가치 급등 시, LG 주가 후행하는 경향-1.7조원 현금성자산 바탕으로 M&A 통한 성장 동력 확보 전망△아모레퍼시픽-면세 회복 등을 통한 이익체력 정상화 기대△LG 유플러스-1Q20의 어닝 서프라이즈에 이어, 마케팅 비용 안정화 지속 영향으로 2Q20 및 하반기까지 호실적 전망-최대주주의 지분 확대(900억원 규모)를 계기로 배당 측면에서도 투자자의 입장이 좀 더 반영될 것으로 전망△이마트-긴급재난지원금의 영향으로 5월 실적(할인점 기존점 -4.7%)이 부진하였으나, 재난지원금의 소진에 따른 점진적인 실적 정상화 기대-하반기 ‘할인점 + 트레이더스 + SSG.Com’의 합산 기존점 성장률의 추세적 턴어라운드 전망△풍산-중국 내수경기 부양 기대감에 따라 전기동 가격 강세 예상-미국 및 중동향 탄약 수출 증가 및 내수 탄약 판매 정상화에 따라 방산부문 실적 개선 전망△신규 편입 종목 : 아모레퍼시픽△편입 제외 종목 : 카카오◇중소형주△컴투스-비대면 여가 시간 증가에 따른 게임사용시간 증가-서머너즈워 해외 실적 견조. 하반기 ‘백년전쟁’, ‘클로니클’ 신작 흥행기대-시총대비 현금보유 비중 50% 이상. PER 10배 미만의 저평가, M&A 여력 가치 부각전망△파라다이스-한한령 해제시, P-씨티 중심으로 중국 매스 카지노 수요 유치 기대-PBR 1.0배인 1.4만원 수준에선 주가 하방경직성 기대 가능△덕산네오룩스-2Q20 실적은 예상대비 양호할 것-3Q20 M11 재료공급사 선정, QD-OLED 재료공급사 구체화 등 대형 이벤트 대기중-OLED 시장내 중요도 상승하고 있는 BOE 소재공급사라는 점도 주가 상승 포인트로 작용할 것△인선이엔티-올해부터 매립사업 실적이 온기로 반영됨에 따라 매출 성장 및 수익성 개선 전망-올해 예상 PER 9배 수준으로 저평가 매력 부각△바이오솔루션-연골재생 골관절염 세포치료제 카티라이프, 점진적인 판매 확대 예상-중장기적으로 인체조직모델의 OECD TG 등재 및 본격적인 활용 기대△인텔리안테크-중장기적으로 저궤도 위성통신 사업은 지속 가능하다고 판단됨-국방 및 공공 부문, 저궤도 위성 통신, 항공기 탑재 안테나 등 다방면으로 매출 다변화 전망△이지웰-고객사 증가에 따른 위탁운영복지예산 확대 지속-복지몰 내 복지포인트 소비 확대에 따른 수수료 매출 증가-간편결제서비스 이지웰페이를 통한 오프라인 수수료 매출 확대△노바텍-차폐 자석 기반의 다양한 제품을 공급하는 업체-기술력 바탕으로 다양한 IT 제품에 대한 적용 범위 확대 기대-2020년 본격적인 외형 확장, 실적 개선은 주가 매력도 확대로 이어질 전망△위세아이텍-국내 머신러닝 및 빅데이터 전문기업으로 데이터품질 관리, 빅데이터 분석, 그리고 머신러닝 기반 솔루션 사업 영위-8월에 데이터3법 개정안 발효됨에 따라 빅데이터 활용 수요 증가가 예상되며 이에 따른 동사 솔루션 수요 확대 기대△영우디에스피-20.1Q 어닝서프라이즈 시현: 매출액 203억원(YoY +114%), 영업이익 18억원(YoY 흑전), 당기순이익 162억원(YoY 흑전), 현재 시가총액 500억원 수준 감안하면 Valuation 매력도 더욱 확대-동사는 디스플레이 검안장비 제조업체로, 2019년 3분기부터 턴어라운드 기조 보이는 회사-2020년은 실적 턴어라운드 강화로 주가 레벨 가능할 전망: 1) 국내 S 사향 수주 확대, 2) 중국 디스플레이 업체들의 본격적 투자 확대△신규 편입 종목 : 없음△편입 제외 종목 : 없음최현민 기자bbaromy4@asiatoday.co.kr좋아요좋아요0슬퍼요슬퍼요0화나요화나요0후속기사 원해요후속기사 원해요0ⓒ 아시아투데이, 무단전재 및 재배포 금지기사제보후원하기",https://www.asiatoday.co.kr/view.php?key=20200720010011361,5
"LG화학, 1~5월 글로벌 전기차 배터리 사용량 1위",파이낸셜뉴스언론사 선정,2020.07.02.,본문 추출 실패,http://www.fnnews.com/news/202007021622240857,5
"외국언론 ""LG화학, 테슬라 급성장의 최대 수혜회사로 꼽혀 주가 급등""",비즈니스포스트,2020.07.20.,본문 추출 실패,http://www.businesspost.co.kr/BP?command=article_view&num=188043,1
"인도 주정부 ""가스사고는 LG화학 잘못…예방체계·경보 없었다""",연합뉴스,2020/07/07 08:36 송고2020년07월07일 08시36분 송고,"권혜진기자구독구독중이전다음(서울=연합뉴스) 권혜진 기자 = 인도 남부 안드라프라데시 주정부는 지난 5월 발생한 LG폴리머스 공장의 화학가스 유출 사고를 조사한 결과, 경보 체계가 작동하지 않는 등 회사의 관리 태만 과실이 있다고 밝혔다.7일(현지시간) 로이터통신에 따르면 주 정부는 이날 성명을 내고 ""이런 사고를 피할 적합한 예방체계가 없었고, 경보 사이렌 시설은 고장난 상태였다""는 조사 결과를 발표했다.주 정부는 안전 규칙을 준수하지 않았고 공장에서 시의적절한 응급 대응 조치도 없었다고 지적했다.LG폴리머스는 LG화학 소유 공장으로, 지난 5월 7일 안드라프라데시주 비사카파트남에 있는 이 공장에선 독성의 스티렌 가스가 누출돼 수백명이 병원으로 이송됐으며 이 가운데 12명이 목숨을 잃었다.주 정부는 사고 이후 위원회를 발족해 사고 경위를 조사했으며 이번에 발표한 조사 결과는 사고 당시 목격자들의 증언과 일치한다.사고 당시 여러 목격자는 로이터통신에 공장에서 가스가 새어 나오기 시작할 때 아무런 경고나 경보음이 없었다고 진술했다.주 정부는 ""위원회는 보고서에서 경보 체계가 어떻게 작동하지 않았는지, 사이렌 소리는 왜 나지 않았는지에 대해 36차례나 언급했다""고 강조했다.이미지 확대연기가 솟아오르는 인도 LG화학공장 가스 누출 현장[EPA=연합뉴스]lucid@yna.co.kr제보는 카카오톡 okjebo<저작권자(c) 연합뉴스,무단 전재-재배포, AI 학습 및 활용 금지>2020/07/07 08:36 송고2020년07월07일 08시36분 송고",http://yna.kr/AKR20200707027500009?did=1195m,1
"LG화학, 테슬라 효과 '톡톡'…2차전지 타고 주가 '씽씽'",아이뉴스24,00.00 00:00 기준,"[아이뉴스24 류은혁 기자] 2차전지 대장주인 LG화학이 '테슬라 효과'를 톡톡히 누리고 있다. 테슬라가 중국에서 판매하는 전기차에 배터리(2차전지)를 공급키로 한 후 공급량이 대폭 늘어나면서 덩달아 LG화학 주가도 치솟고 있다.17일 한국거래소에 따르면 LG화학은 지난 9일 장중 54만9천원까지 뛰면서 52주 신고가를 기록했다. 이는 1년 전 주가 34만4천500원에 비해 무려 59.3% 높은 수준이다. LG화학은 지난달 중순부터 50만원을 돌파하는 등 올해 들어 꾸준하게 오름세를 보이고 있다. 현재는 51만4천원에 거래되고 있다.LG화학 오창 전기차배터리 공장 생산라인 [사진=LG화학]LG화학의 이같은 주가 상승은 외국인이 견인하고 있다. 지난달 16일부터 전날까지 외국인은 1조225억원 어치를 순매수 했다. 반면 개인과 기관은 각각 8천37억원, 2천402억원을 순매도 했다.단순히 실적 측면에서 보면 LG화학은 이렇게 오르기 힘들다. LG화학은 1분기에 매출 7조1천157억원, 영업이익 2천365억원을 기록했다. 영업이익이 직전 분기 적자에서 흑자로 돌아섰지만 작년 1분기(2천810억원)보다는 15.84% 줄어들었다.하지만 시장은 1분기 실적을 '선방'이라고 평가하며 염두에 두지 않는 분위기다. 이런 우려를 모두 불식시킬 만큼 2차전지에 대한 시장의 기대가 압도적이기 때문이다.중국에서의 테슬라 모델3 판매 증가와 함께 LG화학도 배터리 공급이 크게 늘어났다. LG화학의 4월 전기차 내 배터리 탑재량은 1.02GWh로 1위 자리를 CATL(1.33GWh)에 내주긴 했지만 파나소닉(0.91GWh)을 제치고 2위에 올랐다.앞서 중국 공업정보화부는 전기차 보조금 대상 목록에 지난해 12월과 3월 잇따라 테슬라의 세단형 순수 전기차인 모델3를 포함시켰다. 이들 모두 LG화학이 배터리를 공급하는 것으로 알려졌다.또 다른 호재는 유럽 전기차 시장이 빠르게 성장하고 있다는 점이다. 유진투자증권은 6월 유럽에서의 전기차 판매량은 전년 동월 대비 70% 가까이 늘어난 8만대 수준으로 코로나19 여파에도 성장세를 보였다고 평가했다.금융투자업계는 LG화학에 대해 긍정적인 전망을 쏟아내며 추가 상승에 힘을 싣고 있다. 이달 들어 하이투자증권(65만원) 대신증권(61만원) 삼성증권(65만원) 이베스트투자증권(60만원) 하나금융투자(63만원) 메리츠증권(62만원) 교보증권(65만원) 7곳이 LG화학 목표주가를 상향했다.이들 증권사가 제시한 평균 목표주가는 63만원이다. 현재 주가(51만4천원) 대비 22.5% 가량 상승여력이 있다는 진단이다.김정현 교보증권 연구원은 ""대형 전지의 전방 고객사인 테슬라와 경쟁사인 BYD, CATL, 삼성SDI 등의 자동차 전지 업체들의 가치가 가파르게 상승하고 있다""며 ""LG화학의 전지부문 가치도 빠르게 동반 상승하고 있다""고 진단했다.이어 ""LG화학은 SNE리서치 기준 올해 누적 배터리 사용량이 7.8GWh을 기록하며 전기차용 전지 공급사 중 글로벌 1위를 달성했다""며 ""성장 프리미엄이 인정되는 시장에서 글로벌 1위는 높은 밸류에이션을 인정받아 마땅하다""고 강조했다.원민석 하이투자증권 연구원도 ""LG화학은 최근 중국내 테슬라 모델3를 대상으로 원통형 배터리를 공급한 것으로 알려졌다""며 ""중국 중심으로 올해 말까지 전기차 내 비중이 80%까지 확대되면 소형 원통형 배터리 생산능력도 올해 27GWH까지 증가할 것""이라고 내다봤다./류은혁 기자ehryu@inews24.com좋아요응원수주요뉴스새로고침",http://www.inews24.com/view/1282752,4
LG화학 ‘2050 탄소중립 성장’ 선언…자동차 1250만대분 탄소 감축,뉴스1,2020.07.06 오전 08:45,"LG화학 지속가능성 전략 5대 핵심과제 표.(LG화학 제공)ⓒ 뉴스1남경 신강 개발구에 위치한 LG화학 전기차 배터리 1공장 전경ⓒ News1관련 키워드LG화학2050탄소중립성장지속가능성전략5대핵심과제김동규 기자도로공사서비스, 노사 상견례 개최 '협력·상생 강조'자동차손해배상진흥원, 신입직원 공개채용 시작",https://www.news1.kr/articles/?3986715,5
"[배터리 전쟁③] LG화학, '확장-연맹' 눈길… 글로벌 '1위' 굳힌다",뉴데일리,입력 2020-07-15 13:43수정 2020-07-15 14:19,"[배터리 전쟁③] LG화학, '확장-연맹' 눈길… 글로벌 '1위' 굳힌다성재용 기자입력 2020-07-15 13:43수정 2020-07-15 14:19음성으로 듣기공유하기기사 공유하기페이스북X(트위터)카카오텔레그램네이버밴드메일링크복사https://biz.newdaily.co.kr/site/data/html/2020/07/15/2020071500113.html주소가 복사되었습니다.원하는 곳에 붙여넣기 하세요.글자크기가가가가음성으로 듣기2024년 매출 30조 겨냥 투자 가속페달완성차업계 비롯 전방위 협력관계 구축강화 분리막 등 1만6천여 특허… '500㎞ 이상' 3세대 시장 선제 대응신학철 부회장 ""기술개발은 우리의 생명선, R&D 투자 지속 확대 할 것""▲ LG화학 여수공장. ⓒ연합뉴스""미래를 위한 투자는 포기하지 않겠습니다."" (4월 신학철 LG화학 부회장의 CEO 메시지)글로벌 1위' LG화학이 생산능력 확대, 시장 다변화, 기술개발, 합작법인 설립 등으로 선두 굳히기에 돌입했다.15일 업계에 따르면 LG화학의 전기차 배터리 시장점유율은 2017년 4위에서 지난해 3위, 올해 1위에 등극했다. 이 기간 점유율은 8.5%에서 24.2%로 3배 가까이 뛰었다. 확장적 사업전략이 주효했다는 평이다.올해 초 테슬라 모델3, 르노 조에, 아우디 E트론 등 LG화학 배터리가 탑재된 차량 판매가 호조를 보인 것이 순위에 영향을 미쳤다.신종 코로나바이러스 감염증(코로나19) 여파로 같은 기간 전체 글로벌 배터리 사용량은 지난해보다 23.9% 감소한 32.5GWh에 그쳤으나, 이 중 LG화학이 7.8GWh를 가져가면서 그간 펼쳐온 투자와 영업활동이 빛을 발하고 있다는 분석이다.투자의 고삐는 더 바짝 죄고 있다. 올해 시설투자 비용 6조원 중 절반인 3조원을 배터리 사업에 투입하는 등 배터리에 대한 구광모 LG그룹 회장의 전폭적인 지지와 함께 전기차 관련 업종과 손을 잡고 자사를 중심으로 한 국내 배터리 시장의 생태계 구축에 나섰다.상반기 기준 전기차 배터리 수주잔액은 약 150조원이다. 이를 바탕으로 연말까지 연 100GWh 수준으로 배터리 생산능력을 확대해 2024년까지 배터리 부문에서 30조원 이상의 매출을 달성한다는 계획이다.국내 완성차업계 1위 업체인 현대자동차와 협업은 세간을 이목을 집중시키고 있다.2022년 양산 예정인 현대차의 전기차 전용 플랫폼 E-GMP(Electric-Global Modular Platform)의 배터리 공급사로 들어가면서 안정적인 수요처를 확보했다는 평이다.E-GMP 기반의 전기차에 탑재된 LG화학의 제품은 성능이 대폭 향상된 차세대 고성능 리튬이온 배터리다. 양사는 또 인도네시아에 배터리 합작사를 설립하기 위한 사전적업을 진행 중인 것으로 알려졌다.아울러 주유소 공간 인프라를 활용한 전기차 충전 등 관련 업종을 새 먹거리로 보고 비정유 부문을 강화하고 있는 GS칼텍스와도 손을 잡았다. 양사는 배터리 안전진단 서비스를 공동 개발해 내년에 국내 서비스 사업을 런칭하고 2022년부터 해외 충전시장으로 확대한다는 계획이다.최근에는 글로벌 전기차 격전지인 유럽에서 공장 증설에 나서는 등 생산규모 확대에 박차를 가하고 있다. 세계 3대 전기차 시장인 미국, 중국 유럽에 생산기지를 도무 갖춘 유일한 업체인 만큼 언제든 대규모 물량을 쏟아내 점유율을 높인다는 심산이다.유럽 전기차 시장은 빠르게 성장하고 있다. 현재 유럽은 이산화탄소 배출량에 따라 내연기관차의 보유세를 차등 부과하는 등 강력한 환경규제를 시행하고 있어 전기차에 대한 수요가 높다. 유진투자증권 자료를 보면 6월 유럽 전기차 판매량은 지난해 6월에 비해 70% 가까이 늘어난 8만대 수준으로, 코로나19 확산 여파에도 성장세를 보였다.2017년 폴란드 공장을 준공한 이후 줄곧 유럽 투자에 집중해 왔다. 경쟁사인 중국 CATL이 지난해 말 독일에서 배터리 공장 기공식을 연 것과 비교하면 상당히 빠른 투자였다. 일본 파나소닉의 경우 아직 구체화된 유럽 투자계획이 없는 상태다.아우디, 다임러, 르노, 볼보, 폭스바겐, 재규어 등에 전기차 배터리를 공급하는 LG화학의 유럽 전기차 배터리 점유율은 70%를 웃도는 것으로 추정된다.폴란드 배터리 공장의 신규설비 수율도 점차 안정화되고 있다. 당초 지난해 말까지 수율을 90%로 맞추려 했지만, 예상보다 개선 속도가 늦어지면서 실적 개선에 걸림돌이 됐다. 다만 올 들어서는 지난해 경험 축적 등을 통해 수율이 빠르게 개선되고 있다.한승재 DB금융투자 연구원은 ""유럽의 전기차 보조금 확대 정책으로 하반기 이후 유럽 전기차 판매량 급성장이 가속화될 것""이라며 ""수율 문제가 개선되고 있는 만큼 하반기 이후 본격적인 판매물량 확대, 규모의 경제 효과에 따른 중대형 전지 수익성 향상이 이어질 것""이라고 내다봤다.▲ LG화학의 중국 난징 배터리 공장. ⓒLG화학또 다른 빅마켓인 중국에서도 경쟁력 확대를 통해 위상을 드높이고 있다.현지 시장조사업체 배터리차이나 조사 결과 5월 말 기준 LG화학은 중국 시장 누적 전기차 배터리 탑재량에서 2087MWh를 기록, BYD를 제치고 현지 시장점유율 2위를 차지했다. LG화학을 포함한 한국 배터리업체가 중국 시장에서 2위를 차지한 것은 이번이 처음이다. 1위는 CATL이 차지했다.2018년 발표한 2조1000억원 규모의 중국 배터리공장 확장 투자 1단계를 마무리 짓고 올해부터 중국형 테슬라 모델3에 배터리를 납품하고 있는 점이 크게 작용한 것으로 풀이된다. 특히 2월에는 상하이공장에서 생산되는 모델3의 배터리 전량을 공급한 바 있다.업계에서는 그간 보이지 않는 '규제의 벽'에 막혀 한국 배터리업체의 진출이 어려웠던 중국 시장에서 LG화학이 시장점유율을 확대하고 있다는 점을 높게 평가하고 있다.이전과 달리 현지 회사와 손도 잡고 있다.지난해 중국 토종 완성차업체 가운데 현지 점유율 1위 지리자동차와 전기차 배터리 합작법인을 설립하는 계약을 맺었다. 2021년 말까지 연간 10GWh 규모 전기차 배터리를 생산하는 것이 목표다. 연간 15만대의 고성능 전기차에 배터리를 공급할 수 있는 규모다. 앞서 LG화학은 기술유출 등 우려로 그간 중국 업체와는 손을 잡지 않았던 것으로 알려졌다.미국에서는 루시드 모터스와 함께 9월 공개하는 '루시드 에어'에 '21700 원통형 배터리(지름 21㎜, 길이 70㎜)'를 공급할 예정이다. '제2의 테슬라'로 불리는 미국 전기차업체 루시드 모터스의 첫 전기차 모델이다.또한 미국 1위 자동차업체 제네럴모터스(GM)와 지난해 세운 합작법인 가동을 통해 향후 30GWh 이상의 추가 생산능력도 확보할 방침이다. 양사는 합작법인에 각 1조원씩 투자했다.특히 차세대 배터리 '얼티엄'을 향후 출시가 계획된 모든 GM 전기차에 적용시킬 예정이다. 지금의 NCM(니켈·코발트·망간) 리튬이온 전지보다 에너지 밀도가 최소 10% 이상 높아진 NCMA(니켈·코발트·망간·알루미늄)의 양극재 기술이 적용됐다.양극재의 니켈 비중을 85%까지 끌어올린 세계 최고의 기술이다. 니켈은 양극재에서 에너지를 담당하지만, 열이 많이 발생하는 단점이 있어 다량 함유할 경우 폭발하기 쉬워 고도의 기술력이 요구된다.희소금속인 코발트 비율을 5% 수준까지 줄이면서 알루미늄을 추가해 안정성을 유지할 수 있게 됐다. 코발트의 경우 가격이 비싸 함량을 줄일수록 배터리 원가 확보에 도움이 된다.대형 파우치 형태의 셀을 배터리 팩 내부에서 가로 혹은 세로로 배치할 수 있는 셀 설계기술까지 개선되면서 고출력 특성이 향상됐다. 이 배터리는 한 번 충전으로 최대 643㎞ 이상 주행할 수 있는 고용량 배터리다.지난해 지리자동차, GM 등과 합작법인을 설립한 데 이어 올해도 베트남 1위 기업 빈그룹의 계열사 빈패스트와 배터리 팩을 생산하는 합작사를 만들었다.또 연내 착공 예정인 구미 양극재 공장을 중국 업체와 합작해 설립하는 방안도 검토 중인 것으로 전해졌다. 수요가 높은 중국 업체와 합작법인을 설립해 안정적인 배터리 수요처를 확보하겠다는 복안이다.업계 한 관계자는 ""그룹에서 LG화학 배터리 점유율을 최대한 높이라고 지시한 것으로 알고 있다""며 ""앞으로 전기차 배터리 부문 분사 후 재상장 등 사업 확대를 염두에 둔 것""이라고 말했다.▲ 전기차 배터리. ⓒLG화학기술력 제고를 위한 노력도 계속된다. 매년 1조원 이상 연구개발비를 집행 중인 LG화학은 이 가운데 30% 이상을 배터리 부문에 투자하고 있다. 이를 통해 1만6000여건의 관련 특허를 보유하고 있다.△분리막의 표면을 세라믹 소재로 얇게 코팅해 안전성과 성능을 대폭 향상시킨 강화 분리막(SRS) △내부 공간 활용을 극대화해 최고의 에너지 밀도를 구현할 수 있도록 하는 'Lamination & Stacking' 제조 기술 △차량 디자인에 맞춰 적용이 용이하며 안정성이 높고 수명이 긴 '파우치 타입' 등이 대표적이다.특히 3세대 전기차(500㎞ 이상) 시장에 선제적으로 대응하기 위해 양극재 내 니켈 함량이 높은 하이니켈 배터리 기술력 확보와 양산에 집중하고 있다.연내 니켈 함량이 70%인 NCM(코발트 10%, 망간 20%) 배터리를 양산할 계획이며 2022년에는 니켈 함량이 85% 이상, 코발트 함량 5% 이하의 NCMA 배터리를 양산할 계획이다. LG화학은 NCMA 배터리를 탑재할 경우 500~600㎞ 수준의 주행거리를 보유한 진정한 3세대 전기차를 양산할 수 있을 것으로 기대하고 있다.장수명 배터리에도 힘을 주고 있다. 현재 배터리보다 5배 이상 오래 사용해도 성능이 유지되는 것으로, LG화학은 빅데이터와 AI를 활용해 축적된 배터리 소재 기술과 배터리 상태를 실시간 진단하고 최적의 상태로 관리해주는 AI 알고리즘 개발에 속도를 내고 있다.또한 리튬이온 배터리에 비해 에너지 밀도를 두 배 이상 높이고 가격경쟁력도 뛰어난 리튬-황 배터리도 개발 중이다. 양극재로 황탄소 복합제와 음극재로 리튬 메탈 등 경량 재료를 사용한다. 전기차에 탑재할 경우 주행거리가 획기적으로 늘어날 것으로 기대된다.안전성 향성도 과제로 꼽힌다. 전해질을 고체 전해질로 변경해 외부 자극이나 불가피한 파손에도 화재 등의 위험을 줄인다는 것이다. 앞서 이재용 삼성전자 부회장과 정의선 현대자동차그룹 수석부회장 간의 회동에서 화두로 떠올랐던 전고체 배터리 개발도 미래 전기차 배터리로 연구개발 중이다.신학철 부회장은 ""중국 배터리업체들은 가격이 낮지만, 기술면에서는 우리가 1~2년 앞서고 있다""며 ""기술개발은 우리의 생명선과 다름없기 때문에 R&D 지출을 계속 늘리겠다""고 밝혔다.성재용 기자이메일 보내기기자의 다른기사 더보기Copyrights ⓒ 2005 뉴데일리 NewDaily무단전재·재배포 금지press@newdaily.co.kr보도자료 및 기사제보뉴데일리 댓글 운영정책라이브리 댓글 작성을 위해 Javascript를 활성화 해주세요.이 시각 주요뉴스트럼프 관세 90일 유예 '가짜뉴스'에 놀아난 美 증시 … 사상 초유 '빅 롤러코스터'미국 도널드 트럼프 행정부의 관세정책 불확실성으로 7일(현지시각) 뉴욕증시가 '빅 롤러코스터 장세'를 펼친 끝에 앞선 2거래일간 이뤄졌던 투매가 다소 진정되는 양상을 보였다.기술주 중심의 나스닥 종합지수는 장중 낙폭..美 강달러 뒤집기 본격화하나… 日 흔든 '플라자합의' 데자뷔에 韓도 대비해야삼성전자, 갤럭시S25 흥행에 깜짝 실적 … '바닥론' 힘 받나""역사상 가장 큰 자해"" … 서머스 전 美재무, 트럼프 관세 맹비난몰아치는 트럼프發 청구서 … 농민·어민·축산인·수산인 또 눈물 흘리나윤서인의 뉴데툰망상 판타지285화: 나라가 잘 사는 근본이 뭔지 전혀 모르는 사람들새벽N 뉴스레터에너지·화학많이 본 기사01[단독] 삼성SDI, 세계 1위 ESS 업체 뚫었다 … 美 플루언스에 배터리 공급02[단독] 서산 정전에 손실 수백억 … LG·롯데, 이번에도 손실 다 떠안나03'싸게, 더 싸게' … K-배터리, 가성비로 돌파구 찾는다04풍력 No! 태양광·배터리 OK … 美 에너지 정책 기류 변하나05유럽에 공장 쏠린 K-배터리 … 트럼프 관세에 '발등에 불'06정유·석유화학업계, 러·우 휴전 기대감에 '봄바람'07'성장률 5%' 돈 푸는 中 … 불황 닥친 韓 석유화학에도 온기 돌까08효성화학, 3년 적자 끊는다 … '폴리케톤' 영업력 강화09LG화학, 美 투자 속도낸다 … 내년 현지서 양극재 생산10실탄 급한데 … LG화학, '공매도'에 LG엔솔 지분매각 비상등전국뉴스대구·경북이철우, 9일 대선 출마 선언 ‘박정희 생가 참배’충청·세종복기왕·김영석 與野 충남도당위원장, ‘尹 파면’ 헌재 결정 놓고 ‘충돌’호남·제주전남도, 572억 투입해 미래형 양식산업 육성 … 친환경양식 생산기반 구축한다경기·인천유정복 인천시장, 9일 '인천상륙작전' 현장서 대선 출마부산·경남박완수 경남지사 ""헌재 결정 존중, 국론 분열 멈추고 통합해야""강원원주시, '경제위기 극복 긴급처방 예산' 1조8501억 편성뉴데일리 경제많이 본 기사01삼성전자, 갤럭시S25 흥행에 깜짝 실적 … '바닥론' 힘 받나02애경산업 매각 등 ‘뉴 애경’ 시동 … 제주항공, LCC 인수로 그룹 내 위상 커지나03'보수 지지율 1위' 김문수, 오늘 장관직 사퇴 … 대선 출마한다04은행들 ""업종별 위험가중자산 차등해 달라"" 요구한 까닭은05美 증시 안정에 삼전 '깜짝 실적'까지 … 코스피·코스닥 동반 강세06인도 ""BYD 오지마""  … 현대차·LG엔솔 반사이익 얻나07美 관세 늪에 이차전지株 ‘허우적’ … ‘바닥 탈출’은 언제?08크라우드웍스, 공인 AI 전문가 양성기관에 크라우드아카데미 선정09SK에코플랜트, 수익성 나아졌지만 … 빚폭탄 시계 '째깍째깍'10美 강달러 뒤집기 본격화하나… 日 흔든 '플라자합의' 데자뷔에 韓도 대비해야",http://biz.newdaily.co.kr/site/data/html/2020/07/15/2020071500113.html,1
"배터리 분쟁 “조급한 SK이노, 계산기 두드리는 LG화학”",비욘드포스트,2020.07.19.,본문 추출 실패,http://www.beyondpost.co.kr/view.php?ud=202007191215274311c5c1bde209_30,4
